Reco E (MeV),Hist val
0.028 ,0.00 
0.083 ,0.00 
0.139 ,0.00 
0.194 ,0.00 
0.250 ,0.00 
0.306 ,0.00 
0.361 ,0.00 
0.417 ,0.00 
0.472 ,0.00 
0.528 ,0.00 
0.583 ,0.00 
0.639 ,0.00 
0.694 ,0.00 
0.750 ,0.00 
0.806 ,0.00 
0.861 ,0.02 
0.917 ,0.16 
0.972 ,0.48 
1.028 ,0.81 
1.083 ,1.12 
1.139 ,1.44 
1.194 ,1.76 
1.250 ,2.11 
1.306 ,2.47 
1.361 ,2.85 
1.417 ,3.27 
1.472 ,3.74 
1.528 ,4.22 
1.583 ,4.72 
1.639 ,5.23 
1.694 ,5.77 
1.750 ,6.31 
1.806 ,6.88 
1.861 ,7.45 
1.917 ,8.05 
1.972 ,8.67 
2.028 ,9.29 
2.083 ,9.92 
2.139 ,10.57 
2.194 ,11.23 
2.250 ,11.90 
2.306 ,12.58 
2.361 ,13.27 
2.417 ,13.97 
2.472 ,14.68 
2.528 ,15.38 
2.583 ,16.09 
2.639 ,16.81 
2.694 ,17.54 
2.750 ,18.27 
2.806 ,18.99 
2.861 ,19.71 
2.917 ,20.42 
2.972 ,21.15 
3.028 ,21.88 
3.083 ,22.61 
3.139 ,23.33 
3.194 ,24.05 
3.250 ,24.77 
3.306 ,25.48 
3.361 ,26.17 
3.417 ,26.86 
3.472 ,27.54 
3.528 ,28.23 
3.583 ,28.91 
3.639 ,29.60 
3.694 ,30.28 
3.750 ,30.94 
3.806 ,31.59 
3.861 ,32.24 
3.917 ,32.87 
3.972 ,33.52 
4.028 ,34.16 
4.083 ,34.80 
4.139 ,35.44 
4.194 ,36.08 
4.250 ,36.70 
4.306 ,37.33 
4.361 ,37.96 
4.417 ,38.60 
4.472 ,39.24 
4.528 ,39.88 
4.583 ,40.51 
4.639 ,41.13 
4.694 ,41.75 
4.750 ,42.36 
4.806 ,42.98 
4.861 ,43.61 
4.917 ,44.24 
4.972 ,44.86 
5.028 ,45.47 
5.083 ,46.06 
5.139 ,46.65 
5.194 ,47.23 
5.250 ,47.79 
5.306 ,48.35 
5.361 ,48.90 
5.417 ,49.44 
5.472 ,49.98 
5.528 ,50.52 
5.583 ,51.06 
5.639 ,51.58 
5.694 ,52.10 
5.750 ,52.60 
5.806 ,53.09 
5.861 ,53.56 
5.917 ,54.03 
5.972 ,54.48 
6.028 ,54.92 
6.083 ,55.35 
6.139 ,55.77 
6.194 ,56.19 
6.250 ,56.59 
6.306 ,56.99 
6.361 ,57.39 
6.417 ,57.77 
6.472 ,58.15 
6.528 ,58.53 
6.583 ,58.89 
6.639 ,59.25 
6.694 ,59.61 
6.750 ,59.96 
6.806 ,60.31 
6.861 ,60.65 
6.917 ,60.99 
6.972 ,61.33 
7.028 ,61.67 
7.083 ,62.00 
7.139 ,62.34 
7.194 ,62.67 
7.250 ,63.00 
7.306 ,63.32 
7.361 ,63.62 
7.417 ,63.92 
7.472 ,64.21 
7.528 ,64.48 
7.583 ,64.75 
7.639 ,65.00 
7.694 ,65.25 
7.750 ,65.48 
7.806 ,65.70 
7.861 ,65.91 
7.917 ,66.11 
7.972 ,66.30 
8.028 ,66.48 
8.083 ,66.65 
8.139 ,66.80 
8.194 ,66.95 
8.250 ,67.08 
8.306 ,67.20 
8.361 ,67.32 
8.417 ,67.42 
8.472 ,67.51 
8.528 ,67.59 
8.583 ,67.66 
8.639 ,67.73 
8.694 ,67.78 
8.750 ,67.82 
8.806 ,67.85 
8.861 ,67.87 
8.917 ,67.88 
8.972 ,67.88 
9.028 ,67.87 
9.083 ,67.85 
9.139 ,67.82 
9.194 ,67.78 
9.250 ,67.73 
9.306 ,67.68 
9.361 ,67.61 
9.417 ,67.54 
9.472 ,67.45 
9.528 ,67.35 
9.583 ,67.24 
9.639 ,67.13 
9.694 ,67.00 
9.750 ,66.86 
9.806 ,66.72 
9.861 ,66.57 
9.917 ,66.41 
9.972 ,66.24 
10.028 ,66.06 
10.083 ,65.87 
10.139 ,65.67 
10.194 ,65.47 
10.250 ,65.26 
10.306 ,65.04 
10.361 ,64.81 
10.417 ,64.57 
10.472 ,64.32 
10.528 ,64.07 
10.583 ,63.81 
10.639 ,63.54 
10.694 ,63.26 
10.750 ,62.97 
10.806 ,62.67 
10.861 ,62.36 
10.917 ,62.04 
10.972 ,61.71 
11.028 ,61.37 
11.083 ,61.02 
11.139 ,60.66 
11.194 ,60.30 
11.250 ,59.93 
11.306 ,59.55 
11.361 ,59.16 
11.417 ,58.76 
11.472 ,58.35 
11.528 ,57.93 
