# Fig.4
# This file contains Delta chi^2 versus Delta m^2_21 and sin^2(theta_12)
#
# Assume normal mass ordering
# Result of:
# "First measurement of reactor neutrino oscillations at JUNO"
#
Delta m^2_21 [x 10^{-5} eV^2],sin^2(theta_12),Delta chi^2
6.90000,0.26000,64.50600
6.90000,0.26101,63.10900
6.90000,0.26202,61.73600
6.90000,0.26303,60.38600
6.90000,0.26404,59.06100
6.90000,0.26505,57.75800
6.90000,0.26606,56.48100
6.90000,0.26707,55.22800
6.90000,0.26808,53.99800
6.90000,0.26909,52.79300
6.90000,0.27010,51.61200
6.90000,0.27111,50.45500
6.90000,0.27212,49.32200
6.90000,0.27313,48.21400
6.90000,0.27414,47.13200
6.90000,0.27515,46.07200
6.90000,0.27616,45.03700
6.90000,0.27717,44.02600
6.90000,0.27818,43.03900
6.90000,0.27919,42.07500
6.90000,0.28020,41.13700
6.90000,0.28121,40.22400
6.90000,0.28222,39.33500
6.90000,0.28323,38.47000
6.90000,0.28424,37.63000
6.90000,0.28525,36.81400
6.90000,0.28626,36.02300
6.90000,0.28727,35.25700
6.90000,0.28828,34.51400
6.90000,0.28929,33.79700
6.90000,0.29030,33.10300
6.90000,0.29131,32.43500
6.90000,0.29232,31.79000
6.90000,0.29333,31.17100
6.90000,0.29434,30.57500
6.90000,0.29535,30.00400
6.90000,0.29636,29.45800
6.90000,0.29737,28.93500
6.90000,0.29838,28.43800
6.90000,0.29939,27.96400
6.90000,0.30040,27.51500
6.90000,0.30141,27.09000
6.90000,0.30242,26.68900
6.90000,0.30343,26.31300
6.90000,0.30444,25.96000
6.90000,0.30545,25.63200
6.90000,0.30646,25.32800
6.90000,0.30747,25.04800
6.90000,0.30848,24.79200
6.90000,0.30949,24.56000
6.90000,0.31051,24.35100
6.90000,0.31152,24.16700
6.90000,0.31253,24.00600
6.90000,0.31354,23.86900
6.90000,0.31455,23.75600
6.90000,0.31556,23.66600
6.90000,0.31657,23.59900
6.90000,0.31758,23.55600
6.90000,0.31859,23.53600
6.90000,0.31960,23.54000
6.90000,0.32061,23.56600
6.90000,0.32162,23.61600
6.90000,0.32263,23.68900
6.90000,0.32364,23.78400
6.90000,0.32465,23.90200
6.90000,0.32566,24.04300
6.90000,0.32667,24.20600
6.90000,0.32768,24.39200
6.90000,0.32869,24.60000
6.90000,0.32970,24.83100
6.90000,0.33071,25.08300
6.90000,0.33172,25.35700
6.90000,0.33273,25.65300
6.90000,0.33374,25.97100
6.90000,0.33475,26.31000
6.90000,0.33576,26.67100
6.90000,0.33677,27.05300
6.90000,0.33778,27.45600
6.90000,0.33879,27.88000
6.90000,0.33980,28.32500
6.90000,0.34081,28.79100
6.90000,0.34182,29.27600
6.90000,0.34283,29.78300
6.90000,0.34384,30.31000
6.90000,0.34485,30.85600
6.90000,0.34586,31.42200
6.90000,0.34687,32.00800
6.90000,0.34788,32.61300
6.90000,0.34889,33.23700
6.90000,0.34990,33.88100
6.90000,0.35091,34.54200
6.90000,0.35192,35.22300
6.90000,0.35293,35.92200
6.90000,0.35394,36.64000
6.90000,0.35495,37.37500
6.90000,0.35596,38.12800
6.90000,0.35697,38.89900
6.90000,0.35798,39.68700
6.90000,0.35899,40.49200
6.90000,0.36000,41.31400
6.91210,0.26000,63.48700
6.91210,0.26101,62.09000
6.91210,0.26202,60.71700
6.91210,0.26303,59.36800
6.91210,0.26404,58.04300
6.91210,0.26505,56.74100
6.91210,0.26606,55.46300
6.91210,0.26707,54.21000
6.91210,0.26808,52.98200
6.91210,0.26909,51.77700
6.91210,0.27010,50.59700
6.91210,0.27111,49.44300
6.91210,0.27212,48.30900
6.91210,0.27313,47.20300
6.91210,0.27414,46.12000
6.91210,0.27515,45.06100
6.91210,0.27616,44.02700
6.91210,0.27717,43.01700
6.91210,0.27818,42.03000
6.91210,0.27919,41.06900
6.91210,0.28020,40.13300
6.91210,0.28121,39.22100
6.91210,0.28222,38.33400
6.91210,0.28323,37.47100
6.91210,0.28424,36.63200
6.91210,0.28525,35.81900
6.91210,0.28626,35.03000
6.91210,0.28727,34.26500
6.91210,0.28828,33.52500
6.91210,0.28929,32.81000
6.91210,0.29030,32.11900
6.91210,0.29131,31.45200
6.91210,0.29232,30.81100
6.91210,0.29333,30.19300
6.91210,0.29434,29.60100
6.91210,0.29535,29.03200
6.91210,0.29636,28.48900
6.91210,0.29737,27.96900
6.91210,0.29838,27.47500
6.91210,0.29939,27.00400
6.91210,0.30040,26.55800
6.91210,0.30141,26.13700
6.91210,0.30242,25.73900
6.91210,0.30343,25.36600
6.91210,0.30444,25.01800
6.91210,0.30545,24.69300
6.91210,0.30646,24.39300
6.91210,0.30747,24.11700
6.91210,0.30848,23.86500
6.91210,0.30949,23.63700
6.91210,0.31051,23.43300
6.91210,0.31152,23.25200
6.91210,0.31253,23.09600
6.91210,0.31354,22.96300
6.91210,0.31455,22.85500
6.91210,0.31556,22.76900
6.91210,0.31657,22.70800
6.91210,0.31758,22.66900
6.91210,0.31859,22.65500
6.91210,0.31960,22.66300
6.91210,0.32061,22.69500
6.91210,0.32162,22.75000
6.91210,0.32263,22.82800
6.91210,0.32364,22.92900
6.91210,0.32465,23.05300
6.91210,0.32566,23.20000
6.91210,0.32667,23.36900
6.91210,0.32768,23.56000
6.91210,0.32869,23.77500
6.91210,0.32970,24.01100
6.91210,0.33071,24.27000
6.91210,0.33172,24.55000
6.91210,0.33273,24.85300
6.91210,0.33374,25.17700
6.91210,0.33475,25.52300
6.91210,0.33576,25.89100
6.91210,0.33677,26.28000
6.91210,0.33778,26.69000
6.91210,0.33879,27.12100
6.91210,0.33980,27.57300
6.91210,0.34081,28.04600
6.91210,0.34182,28.53900
6.91210,0.34283,29.05400
